지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),해면기압(hPa),적설(cm),year,month,day,hour
108,서울,2019-01-01 00:00:00,-5.5,0.0,1.0,290.0,54.0,2.2,1024.1,1035.3,0.0,2019,1,1,0
108,서울,2019-01-01 01:00:00,-5.9,0.0,1.8,270.0,56.0,2.2,1024.0,1035.2,0.0,2019,1,1,1
108,서울,2019-01-01 02:00:00,-6.5,0.0,1.2,290.0,60.0,2.3,1024.2,1035.5,0.0,2019,1,1,2
108,서울,2019-01-01 03:00:00,-6.9,0.0,2.2,270.0,62.0,2.3,1024.3,1035.6,0.0,2019,1,1,3
108,서울,2019-01-01 04:00:00,-7.2,0.0,1.2,270.0,57.0,2.0,1023.9,1035.2,0.0,2019,1,1,4
108,서울,2019-01-01 05:00:00,-7.6,0.0,2.1,270.0,59.0,2.0,1023.6,1034.9,0.0,2019,1,1,5
108,서울,2019-01-01 06:00:00,-7.9,0.0,1.3,290.0,60.0,2.0,1023.6,1034.9,0.0,2019,1,1,6
108,서울,2019-01-01 07:00:00,-7.7,0.0,1.3,320.0,58.0,2.0,1023.1,1034.4,0.0,2019,1,1,7
108,서울,2019-01-01 08:00:00,-7.7,0.0,0.9,360.0,57.0,2.0,1023.0,1034.3,0.0,2019,1,1,8
108,서울,2019-01-01 09:00:00,-7.0,0.0,0.9,290.0,50.0,1.8,1023.2,1034.5,0.0,2019,1,1,9
108,서울,2019-01-01 10:00:00,-4.9,0.0,1.6,290.0,44.0,1.9,1023.3,1034.5,0.0,2019,1,1,10
108,서울,2019-01-01 11:00:00,-3.7,0.0,2.5,290.0,41.0,1.9,1023.0,1034.1,0.0,2019,1,1,11
108,서울,2019-01-01 12:00:00,-2.8,0.0,2.8,290.0,47.0,2.3,1022.0,1033.1,0.0,2019,1,1,12
108,서울,2019-01-01 13:00:00,-1.5,0.0,2.7,270.0,49.0,2.7,1020.9,1031.9,0.0,2019,1,1,13
108,서울,2019-01-01 14:00:00,-1.7,0.0,3.5,290.0,51.0,2.8,1020.4,1031.4,0.0,2019,1,1,14
108,서울,2019-01-01 15:00:00,-1.5,0.0,3.0,270.0,46.0,2.5,1020.7,1031.7,0.0,2019,1,1,15
108,서울,2019-01-01 16:00:00,-0.9,0.0,3.2,270.0,45.0,2.6,1020.6,1031.6,0.0,2019,1,1,16
108,서울,2019-01-01 17:00:00,-1.8,0.0,2.2,290.0,48.0,2.6,1020.9,1031.9,0.0,2019,1,1,17
108,서울,2019-01-01 18:00:00,-2.7,0.0,2.6,270.0,45.0,2.3,1021.0,1032.1,0.0,2019,1,1,18
108,서울,2019-01-01 19:00:00,-3.2,0.0,3.2,270.0,45.0,2.2,1021.8,1032.9,0.0,2019,1,1,19
108,서울,2019-01-01 20:00:00,-3.9,0.0,3.5,290.0,42.0,1.9,1022.2,1033.3,0.0,2019,1,1,20
108,서울,2019-01-01 21:00:00,-4.6,0.0,2.6,340.0,36.0,1.6,1022.6,1033.8,0.0,2019,1,1,21
108,서울,2019-01-01 22:00:00,-5.4,0.0,3.1,290.0,43.0,1.8,1022.9,1034.1,0.0,2019,1,1,22
108,서울,2019-01-01 23:00:00,-6.0,0.0,1.1,20.0,48.0,1.9,1022.7,1033.9,0.0,2019,1,1,23
108,서울,2019-01-02 00:00:00,-6.7,0.0,1.3,320.0,50.0,1.8,1023.0,1034.3,0.0,2019,1,2,0
108,서울,2019-01-02 01:00:00,-7.2,0.0,0.8,290.0,52.0,1.8,1023.2,1034.5,0.0,2019,1,2,1
108,서울,2019-01-02 02:00:00,-7.8,0.0,1.3,270.0,54.0,1.8,1023.6,1034.9,0.0,2019,1,2,2
108,서울,2019-01-02 03:00:00,-8.0,0.0,0.9,290.0,55.0,1.8,1023.6,1034.9,0.0,2019,1,2,3
108,서울,2019-01-02 04:00:00,-8.4,0.0,1.3,270.0,59.0,1.9,1023.1,1034.4,0.0,2019,1,2,4
