지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),현상번호(국내식),지면온도(°C),10cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2019-01-01 0:00,-5.5,,1,290,54,2.2,1024.1,1035.3,,,,0,0,,,,-6,-1.1,1
108,서울,2019-01-01 1:00,-5.9,,1.8,270,56,2.2,1024,1035.2,,,,0,0,,,,-6.5,-1.4,1
108,서울,2019-01-01 2:00,-6.5,,1.2,290,60,2.3,1024.2,1035.5,,,,0,0,,,,-7.1,-1.6,1
108,서울,2019-01-01 3:00,-6.9,,2.2,270,62,2.3,1024.3,1035.6,,,,1,0,Ci,,,-7.3,-1.8,1
108,서울,2019-01-01 4:00,-7.2,,1.2,270,57,2,1023.9,1035.2,,,,3,0,Ci,,,-7.5,-2,1
108,서울,2019-01-01 5:00,-7.6,,2.1,270,59,2,1023.6,1034.9,,,,1,0,Ci,,,-7.8,-2.1,1
108,서울,2019-01-01 6:00,-7.9,,1.3,290,60,2,1023.6,1034.9,,,,4,0,Ci,,,-8,-2.3,0.9
108,서울,2019-01-01 7:00,-7.7,,1.3,320,58,2,1023.1,1034.4,,,,6,0,Ci,,,-8.1,-2.4,1
108,서울,2019-01-01 8:00,-7.7,,0.9,360,57,2,1023,1034.3,0,0,,8,8,Ac,41,,-7.8,-2.5,0.9
108,서울,2019-01-01 9:00,-7,,0.9,290,50,1.8,1023.2,1034.5,0,0.17,,9,9,Ac,35,,-5.2,-2.4,0.9
108,서울,2019-01-01 10:00,-4.9,,1.6,290,44,1.9,1023.3,1034.5,0.6,0.69,,8,4,AcCi,29,,-1.4,-2.3,0.9
108,서울,2019-01-01 11:00,-3.7,,2.5,290,41,1.9,1023,1034.1,1,1.25,,5,1,ScAc,10,,1.3,-1.8,0.9
108,서울,2019-01-01 12:00,-2.8,,2.8,290,47,2.3,1022,1033.1,1,1.41,,8,8,Sc,9,,2.8,-1.4,0.9
108,서울,2019-01-01 13:00,-1.5,,2.7,270,49,2.7,1020.9,1031.9,1,1.42,,7,7,Sc,9,,5.1,-1.1,0.9
108,서울,2019-01-01 14:00,-1.7,,3.5,290,51,2.8,1020.4,1031.4,1,1.08,,8,8,Sc,9,,3.1,-0.8,0.9
108,서울,2019-01-01 15:00,-1.5,,3,270,46,2.5,1020.7,1031.7,0.8,0.66,,4,3,ScCi,10,,1.2,-0.7,0.8
108,서울,2019-01-01 16:00,-0.9,,3.2,270,45,2.6,1020.6,1031.6,1,0.87,,2,2,Sc,11,,1.5,-0.5,0.9
108,서울,2019-01-01 17:00,-1.8,,2.2,290,48,2.6,1020.9,1031.9,1,0.28,,2,2,Sc,11,,-0.6,-0.5,0.9
108,서울,2019-01-01 18:00,-2.7,,2.6,270,45,2.3,1021,1032.1,0.1,0.01,,1,1,Sc,10,,-1.6,-0.4,0.8
108,서울,2019-01-01 19:00,-3.2,,3.2,270,45,2.2,1021.8,1032.9,,,,0,0,,,,-2.5,-0.4,0.8
108,서울,2019-01-01 20:00,-3.9,,3.5,290,42,1.9,1022.2,1033.3,,,,1,0,,,,-3.2,-0.5,0.8
108,서울,2019-01-01 21:00,-4.6,,2.6,340,36,1.6,1022.6,1033.8,,,,0,0,,,,-4.2,-0.6,0.9
108,서울,2019-01-01 22:00,-5.4,,3.1,290,43,1.8,1022.9,1034.1,,,,2,0,,,,-5.1,-0.7,0.9
108,서울,2019-01-01 23:00,-6,,1.1,20,48,1.9,1022.7,1033.9,,,,0,0,,,,-5.9,-1,0.8
108,서울,2019-01-02 0:00,-6.7,,1.3,320,50,1.8,1023,1034.3,,,,0,0,,,,-6.7,-1.2,0.9
108,서울,2019-01-02 1:00,-7.2,,0.8,290,52,1.8,1023.2,1034.5,,,,0,0,,,,-7.2,-1.5,0.8
108,서울,2019-01-02 2:00,-7.8,,1.3,270,54,1.8,1023.6,1034.9,,,,0,0,,,,-7.9,-1.7,0.8
108,서울,2019-01-02 3:00,-8,,0.9,290,55,1.8,1023.6,1034.9,,,,0,0,,,,-8.3,-2,0.8
108,서울,2019-01-02 4:00,-8.4,,1.3,270,59,1.9,1023.1,1034.4,,,,0,0,,,,-8.7,-2.2,0.8
108,서울,2019-01-02 5:00,-8.5,,0.8,290,57,1.8,1022.9,1034.2,,,,0,0,,,,-9,-2.4,0.8
108,서울,2019-01-02 6:00,-8.5,,0.6,270,57,1.8,1023.3,1034.6,,,,0,0,,,,-9.3,-2.5,0.8
108,서울,2019-01-02 7:00,-8.5,,0.7,320,61,2,1023.8,1035.1,,,,0,0,,,,-9.6,-2.7,0.8
108,서울,2019-01-02 8:00,-8.7,,0.8,290,63,2,1024.5,1035.9,0,0,,0,0,,,,-9.7,-2.9,0.9
108,서울,2019-01-02 9:00,-7.5,,1.4,320,51,1.8,1025.1,1036.4,0.6,0.26,,0,0,,,,-7.7,-2.9,0.8
108,서울,2019-01-02 10:00,-5.6,,1.5,320,40,1.6,1025.4,1036.6,1,0.88,,0,0,,,,-3,-2.7,0.8
108,서울,2019-01-02 11:00,-4.1,,2.2,320,33,1.5,1024.8,1036,1,1.36,,0,0,,,,1.3,-2.2,0.8
108,서울,2019-01-02 12:00,-2.8,,3.2,320,29,1.4,1023.8,1034.9,1,1.69,,0,0,,,,4.6,-1.7,0.8
108,서울,2019-01-02 13:00,-1.8,,3,320,26,1.4,1022.8,1033.8,1,1.81,,0,0,,,,7.2,-1.2,0.7
108,서울,2019-01-02 14:00,-0.2,,2.5,270,22,1.3,1022.2,1033.2,1,1.73,,0,0,,,,8.4,-1,0.8
108,서울,2019-01-02 15:00,0,,2.6,290,23,1.4,1022.2,1033.2,1,1.43,,0,0,,,,7,-0.7,0.8
108,서울,2019-01-02 16:00,0,,2,320,22,1.3,1022.2,1033.2,1,0.94,,0,0,,,,3,-0.6,0.7
108,서울,2019-01-02 17:00,-1,,1.8,270,32,1.8,1022.1,1033.1,1,0.37,,0,0,,,,-0.7,-0.5,0.8
108,서울,2019-01-02 18:00,-2.6,,2.2,270,37,1.9,1022.8,1033.9,0.1,0.01,,0,0,,,,-1.9,-0.4,0.7
108,서울,2019-01-02 19:00,-3.3,,2,270,39,1.9,1023,1034.1,,,,0,0,,,,-2.8,-0.4,0.7
108,서울,2019-01-02 20:00,-3.9,,1.1,290,43,2,1023,1034.1,,,,0,0,,,,-3.6,-0.5,0.7
108,서울,2019-01-02 21:00,-4.4,,1.7,270,44,1.9,1022.9,1034.1,,,,0,0,,,,-4.1,-0.5,0.7
108,서울,2019-01-02 22:00,-4.3,,2,320,47,2.1,1023.1,1034.3,,,,0,0,,,,-4.6,-0.7,0.8
108,서울,2019-01-02 23:00,-4.6,,1.6,290,47,2,1023.5,1034.7,,,,0,0,,,,-5.1,-0.9,0.7
108,서울,2019-01-03 0:00,-5.4,,2.4,290,46,1.9,1023.8,1035,,,,0,0,,,,-5.7,-1.1,0.7
108,서울,2019-01-03 1:00,-6.1,,0.8,320,48,1.9,1023.8,1035,,,,0,0,,,,-6.5,-1.3,0.7
108,서울,2019-01-03 2:00,-7,,0.8,290,53,1.9,1024,1035.3,,,,0,0,,,,-7.2,-1.5,0.8
108,서울,2019-01-03 3:00,-7.5,,0.7,290,51,1.8,1024.2,1035.5,,,,0,0,,,,-7.8,-1.7,0.7
108,서울,2019-01-03 4:00,-7.7,,2.4,270,53,1.8,1024,1035.3,,,,0,0,,,,-7.9,-2,0.7
108,서울,2019-01-03 5:00,-8,,1.1,290,57,1.9,1024.1,1035.4,,,,0,0,,,,-8.2,-2.2,0.8
108,서울,2019-01-03 6:00,-8.1,,1.7,270,54,1.8,1024.5,1035.8,,,,0,0,,,,-8.5,-2.4,0.7
108,서울,2019-01-03 7:00,-8.3,,0.7,360,58,1.9,1024.5,1035.8,,,,0,0,,,,-8.8,-2.5,0.7
108,서울,2019-01-03 8:00,-8.4,,0.9,290,56,1.8,1024.7,1036.1,0,0,,0,0,,,,-9.1,-2.7,0.7
108,서울,2019-01-03 9:00,-7.7,,0.5,20,43,1.5,1025.3,1036.6,0.6,0.25,,0,0,,,,-7.4,-2.8,0.7
108,서울,2019-01-03 10:00,-4.8,,1,320,33,1.4,1025.8,1037,1,0.86,,0,0,,,,-2.4,-2.5,0.7
108,서울,2019-01-03 11:00,-2.4,,1.3,290,30,1.5,1025.8,1036.9,1,1.35,,0,0,,,,2.4,-2.1,0.7
108,서울,2019-01-03 12:00,-0.4,,1.9,290,26,1.5,1025,1036,1,1.68,,0,0,,,,5.8,-1.5,0.7
108,서울,2019-01-03 13:00,1.1,,1.4,270,22,1.5,1024.1,1035,1,1.79,,0,0,,,,8.3,-1.2,0.7
108,서울,2019-01-03 14:00,2.4,,1.9,180,20,1.5,1023.4,1034.3,1,1.69,,0,0,,,,9.3,-0.8,0.6
108,서울,2019-01-03 15:00,2.9,,2.3,180,20,1.5,1023.2,1034,1,1.37,,1,0,Ci,,,8,-0.6,0.7
108,서울,2019-01-03 16:00,3.2,,1.7,180,19,1.5,1022.9,1033.7,1,0.92,,0,0,,,,4.4,-0.5,0.7
108,서울,2019-01-03 17:00,1.5,,1.2,290,20,1.4,1023,1033.9,1,0.36,,0,0,,,,-0.5,-0.5,0.7
108,서울,2019-01-03 18:00,-0.4,,1.6,270,22,1.3,1023.3,1034.3,0.1,0.01,,0,0,,,,-1.7,-0.4,0.7
108,서울,2019-01-03 19:00,-0.9,,2,290,24,1.4,1024.2,1035.2,,,,0,0,,,,-2.4,-0.3,0.7
108,서울,2019-01-03 20:00,-1.7,,1.5,270,45,2.4,1025,1036.1,,,,0,0,,,,-2.6,-0.3,0.7
108,서울,2019-01-03 21:00,-2.7,,0.7,290,47,2.4,1024.1,1035.2,,,,0,0,,,,-3.4,-0.3,0.7
108,서울,2019-01-03 22:00,-3.3,,0.7,290,42,2,1024,1035.1,,,,0,0,,,,-4.1,-0.4,0.6
108,서울,2019-01-03 23:00,-3.9,,1.3,270,41,1.9,1024.6,1035.8,,,,0,0,,,,-4.5,-0.5,0.7
108,서울,2019-01-04 0:00,-3.9,,0.8,290,47,2.2,1024.3,1035.5,,,,0,0,,,,-5,-0.7,0.7
108,서울,2019-01-04 1:00,-4.1,,0.4,0,46,2.1,1023.9,1035.1,,,,4,0,,,,-5.4,-0.8,0.7
108,서울,2019-01-04 2:00,-4.5,,0.6,20,44,1.9,1024,1035.2,,,,0,0,,,,-5.9,-1,0.6
108,서울,2019-01-04 3:00,-4.9,,1.1,50,47,2,1023.2,1034.4,,,,0,0,,,,-6.2,-1.2,0.7
108,서울,2019-01-04 4:00,-5.2,,0.6,20,50,2.1,1023,1034.2,,,,0,0,,,,-6.6,-1.4,0.7
108,서울,2019-01-04 5:00,-5.5,,0.7,360,47,1.9,1022.5,1033.7,,,,0,0,,,,-7,-1.6,0.7
108,서울,2019-01-04 6:00,-5.8,,0.8,20,50,2,1022.1,1033.3,,,,0,0,,,,-7.2,-1.8,0.7
108,서울,2019-01-04 7:00,-6,,1.2,50,55,2.2,1021.5,1032.7,,,,0,0,,,,-7.2,-2,0.7
108,서울,2019-01-04 8:00,-6.1,,1.1,20,54,2.1,1021.4,1032.6,0,0,,2,0,Ci,,,-7.1,-2,0.7
108,서울,2019-01-04 9:00,-5.4,,1.3,50,49,2,1021.9,1033.1,0.4,0.22,,3,0,Ci,,,-5.3,-2.1,0.6
108,서울,2019-01-04 10:00,-3.5,,0.7,360,40,1.9,1022.1,1033.2,1,0.63,,4,0,Ci,,,-1.8,-2,0.6
108,서울,2019-01-04 11:00,-1.5,,1,360,37,2,1021.5,1032.5,0.3,0.73,,9,9,As,25,,0.8,-1.6,0.6
108,서울,2019-01-04 12:00,-0.4,,0.7,360,34,2,1020.5,1031.5,0,0.64,,10,10,As,24,,1.7,-1.3,0.6
108,서울,2019-01-04 13:00,1.1,,1.5,230,40,2.6,1020.1,1031,0,0.79,,8,5,AsCi,26,,3.2,-1,0.6
108,서울,2019-01-04 14:00,3.1,,2.5,200,36,2.8,1019.2,1030,0.8,1.27,,7,1,ScCi,10,,6.1,-0.8,0.6
108,서울,2019-01-04 15:00,3.9,,2.7,230,40,3.2,1018.2,1028.9,1,1.23,,8,0,Ci,,40,6.3,-0.6,0.6
108,서울,2019-01-04 16:00,3,,1.6,250,49,3.7,1017.8,1028.6,0.4,0.51,,9,9,Sc,11,40,2.3,-0.5,0.6
108,서울,2019-01-04 17:00,2.7,,1.3,270,61,4.5,1017.3,1028.1,0,0.18,,9,9,Sc,8,40,0.9,-0.5,0.7
108,서울,2019-01-04 18:00,2.3,,1.5,250,69,5,1017.4,1028.2,0,0,,6,6,Sc,10,40,-0.4,-0.4,0.7
108,서울,2019-01-04 19:00,1.5,,1,230,74,5,1017.2,1028,,,,10,2,,5,40,-0.5,-0.4,0.6
108,서울,2019-01-04 20:00,1.4,,1.2,270,75,5.1,1017.1,1028,,,,10,4,,4,40,-0.3,-0.3,0.6
108,서울,2019-01-04 21:00,1.4,,1.8,270,75,5.1,1016.6,1027.4,,,,8,8,Sc,11,40,-0.5,-0.3,0.6
108,서울,2019-01-04 22:00,0.7,,1.1,250,79,5.1,1016.3,1027.2,,,,0,0,,,40,-1.4,-0.3,0.6
108,서울,2019-01-04 23:00,0.1,,1,290,81,5,1016.2,1027.1,,,,9,9,,10,4019,-2,-0.3,0.6
108,서울,2019-01-05 0:00,-0.2,,1.7,270,80,4.8,1015.8,1026.7,,,,9,9,,,19,-2.1,-0.3,0.6
108,서울,2019-01-05 1:00,-0.4,,2.2,320,81,4.8,1016.1,1027,,,,0,0,,,19,-2.5,-0.2,0.7
108,서울,2019-01-05 2:00,-1.5,,3,290,75,4.1,1016.5,1027.5,,,,8,8,,7,19,-2.8,-0.3,0.7
108,서울,2019-01-05 3:00,-2.2,,2.1,320,75,3.9,1016.6,1027.6,,,,0,0,,,19,-3.5,-0.3,0.6
108,서울,2019-01-05 4:00,-2.9,,1.4,360,65,3.2,1016.2,1027.2,,,,0,0,,,4019,-4.4,-0.5,0.6
108,서울,2019-01-05 5:00,-3.8,,1.2,340,61,2.8,1016.2,1027.3,,,,0,0,,,40,-5.1,-0.6,0.6
108,서울,2019-01-05 6:00,-4.5,,0.6,320,58,2.5,1016.3,1027.4,,,,0,0,,,40,-5.9,-0.8,0.6
108,서울,2019-01-05 7:00,-4.6,,1.6,340,50,2.2,1016.2,1027.3,,,,0,0,,,40,-6.4,-1,0.6
108,서울,2019-01-05 8:00,-4.5,,3.3,320,46,2,1016.8,1027.9,0,0,,1,0,Ci,,40,-6.1,-1.2,0.7
108,서울,2019-01-05 9:00,-4.7,,2.9,320,47,2,1017.2,1028.3,0.5,0.24,,0,0,,,,-5.1,-1.4,0.6
108,서울,2019-01-05 10:00,-4,,3.5,320,45,2,1017.9,1029,1,0.81,,2,0,Ci,,,-1.9,-1.4,0.7
108,서울,2019-01-05 11:00,-2.8,,3.7,320,38,1.9,1018.1,1029.1,1,1.27,,4,0,Ci,,,1.8,-1.2,0.6
